Start date;Stop date;Network;Fleet;report_ev;Group;User;Charging Station;City;Duration (min);Total Energy (kWh);CO2 Emitted;Duration after charging session (min);Charging duration (min);Roaming cost/time (€);Roaming cost/energy (€);Activation fee;Tariff per kWh;Tariff per min;Tariff during charging session (€/min);Tariff after charging session (€/min);MOBIE CEME tariff (€);MOBIE CEME total (€);MOBIE TAR total (€);MOBIE CPO total (€);MOBIE E-mobility support (€);MOBIE EGME total (€);MOBIE IEC total (€);Cost excl. IVA;VAT rate (%);Cost incl. IVA;Status;Temp;Plus;;;;t;p;Charging Station
03/20/2023 | 13:23;03/20/2023 | 14:22;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00004;Maia;58,817;9,64;0;0;58,817;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;1,18;23;1,45;TOPROCESS;13,5;0;;;;0,980283333;9,833891562;CAP_SON_MAI_00004
03/20/2023 | 10:41;03/20/2023 | 11:14;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00002;Maia;32,433;44,21;0;0;32,433;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0,65;23;0,8;TOPROCESS;13,5;0;;;;0,54055;81,78706873;CAP_SON_MAI_00002
03/17/2023 | 08:13;03/17/2023 | 12:17;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00004;Maia;243,683;43,61;0;0;243,683;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;4,87;23;5,99;TOPROCESS;13;0;;;;4,061383333;10,73772073;CAP_SON_MAI_00004
03/15/2023 | 13:53;03/15/2023 | 20:04;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00001;Maia;371,467;23,8;0;0;371,467;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;7,43;23;9,14;TOPROCESS;13;0;;;;6,191116667;3,844217656;CAP_SON_MAI_00001
03/14/2023 | 08:50;03/14/2023 | 13:58;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00010;Moreira;307,767;7,85;0;0;307,767;-;-;-;-;0,015;-;0,005;-;-;-;-;-;-;-;4,62;23;5,68;TOPROCESS;13;0;;;;5,12945;1,530378501;CAP_SON_MAI_00010
03/09/2023 | 19:46;03/09/2023 | 20:15;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00002;Maia;28,267;34,96;0;0;28,267;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0,57;23;0,7;TOPROCESS;14;0;;;;0,471116667;74,20667209;CAP_SON_MAI_00002
03/09/2023 | 08:36;03/09/2023 | 11:09;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00004;Maia;153,083;26,52;0;0;153,083;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;3,06;23;3,76;TOPROCESS;14;0;;;;2,551383333;10,39436123;CAP_SON_MAI_00004
03/09/2023 | 08:24;03/09/2023 | 08:35;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00002;Maia;10,533;15,83;0;0;10,533;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0,21;23;0,26;TOPROCESS;14;0;;;;0,17555;90,17373968;CAP_SON_MAI_00002
03/09/2023 | 08:22;03/09/2023 | 08:24;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00004;Maia;1,8;0,1;0;0;1,8;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0,04;23;0,05;TOPROCESS;14;0;;;;0,03;3,333333333;CAP_SON_MAI_00004
03/08/2023 | 13:14;03/08/2023 | 14:01;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00002;Maia;47,533;35,95;0;0;47,533;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0,95;23;1,17;TOPROCESS;14,25;0;;;;0,792216667;45,37899985;CAP_SON_MAI_00002
